platform,source_url,product_id,handle,url,title,brand,product_type,tags,variant_id,variant_title,sku,price,compare_at_price,currency,options,available,image
woocommerce,https://containersolutionscs.de,3551,gree-t-fresh-stehklimaanlage-72-kw-24-566-btu-kuehlen-heizen-energieklasse-a-r32,https://containersolutionscs.de/produkt/gree-t-fresh-stehklimaanlage-72-kw-24-566-btu-kuehlen-heizen-energieklasse-a-r32/,"GREE T-Fresh Stehklimaanlage 7,2 kW / 24.566 Btu | Kühlen & Heizen | Energieklasse A++ | R32",,Klimaanlage,,3551,"GREE T-Fresh Stehklimaanlage 7,2 kW / 24.566 Btu | Kühlen & Heizen | Energieklasse A++ | R32",CL3ST2698,1500.00,1500.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/GVH24AMXF-K6DNC7A-GREE_Stehklimaanlage_T-Fresh_Kaelteleistung_7_2_kW_-_24566_Btu_3_0_PS_GVH24-3-6452155fe9eca-scaled.jpg
woocommerce,https://containersolutionscs.de,3543,fendt-ht353017-k-holzrueckeanhaenger,https://containersolutionscs.de/produkt/fendt-ht353017-k-holzrueckeanhaenger/,Fendt HT353017-K Holzrückeanhänger,,Anhänger,,3543,Fendt HT353017-K Holzrückeanhänger,CL3ST2697,8500.00,8500.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/11100050_4_1920x1920-1536x1022-1.webp
woocommerce,https://containersolutionscs.de,3539,hydraulische-abdeckung-franc-bri-130,https://containersolutionscs.de/produkt/hydraulische-abdeckung-franc-bri-130/,Hydraulische Abdeckung Franc BRI 130,,Anhänger,,3539,Hydraulische Abdeckung Franc BRI 130,CL3ST2696,1050.00,1050.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/BRI130002jpg-1.jpg
woocommerce,https://containersolutionscs.de,3519,deckelanhaenger-150x300cm-hoehe-95cm-750kg-typ-u7-seitentuer-neu,https://containersolutionscs.de/produkt/deckelanhaenger-150x300cm-hoehe-95cm-750kg-typ-u7-seitentuer-neu/,Deckelanhänger 150x300cm Höhe: 95cm 750kg | Typ U7 | Seitentür-Neu,,Anhänger,,3519,Deckelanhänger 150x300cm Höhe: 95cm 750kg | Typ U7 | Seitentür-Neu,CL3ST2695,3025.00,3025.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/6deckel-9.webp
woocommerce,https://containersolutionscs.de,3500,deckelanhaenger-edition-35-150x300-cm-500-kg-hoehe-125-cm-typ-7-26-neu,https://containersolutionscs.de/produkt/deckelanhaenger-edition-35-150x300-cm-500-kg-hoehe-125-cm-typ-7-26-neu/,Deckelanhänger „Edition 35“ 150×300 cm 500 kg | Höhe 125 cm | Typ 7.26-Neu,,Anhänger,,3500,Deckelanhänger „Edition 35“ 150×300 cm 500 kg | Höhe 125 cm | Typ 7.26-Neu,CL3ST2694,4800.00,4800.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/5-tam-2.webp
woocommerce,https://containersolutionscs.de,3483,pkw-anhaenger-aluminium-1300-kg-crossline-typ-4-13-125x250-cm-10-jahre-garantie,https://containersolutionscs.de/produkt/pkw-anhaenger-aluminium-1300-kg-crossline-typ-4-13-125x250-cm-10-jahre-garantie/,"PKW Anhänger Aluminium 1300 kg – CROSSLINE Typ 4.13,125×250 cm,10 Jahre Garantie",,Anhänger,,3483,"PKW Anhänger Aluminium 1300 kg – CROSSLINE Typ 4.13,125×250 cm,10 Jahre Garantie",CL3ST2693,3000.00,3000.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/2-geb-2.webp
woocommerce,https://containersolutionscs.de,3464,anhaenger-crossline-150x300-cm-2600-kg-hoehe-60-cm-aluboden-typ-7-26-neu,https://containersolutionscs.de/produkt/anhaenger-crossline-150x300-cm-2600-kg-hoehe-60-cm-aluboden-typ-7-26-neu/,Anhänger „CROSSLINE“ 150×300 cm 2600 kg | Höhe 60 cm | Aluboden | Typ 7.26-Neu,,Anhänger,,3464,Anhänger „CROSSLINE“ 150×300 cm 2600 kg | Höhe 60 cm | Aluboden | Typ 7.26-Neu,CL3ST2692,3800.00,3800.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/6-tam-2.webp
woocommerce,https://containersolutionscs.de,3447,anhaenger-crossline-125x250-cm-240-kg-hoehe-60-cm-aluboden-typ-4-13-neu,https://containersolutionscs.de/produkt/anhaenger-crossline-125x250-cm-240-kg-hoehe-60-cm-aluboden-typ-4-13-neu/,Anhänger „CROSSLINE“ 125×250 cm 240 kg | Höhe 60 cm | Aluboden | Typ 4.13-Neu,,Anhänger,,3447,Anhänger „CROSSLINE“ 125×250 cm 240 kg | Höhe 60 cm | Aluboden | Typ 4.13-Neu,CL3ST2691,3000.00,3000.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/17-ged-2.webp
woocommerce,https://containersolutionscs.de,3435,anhaenger-150x300cm-20t-typ-7-20-hobby-hochplane-180-cm-angebot-neu,https://containersolutionscs.de/produkt/anhaenger-150x300cm-20t-typ-7-20-hobby-hochplane-180-cm-angebot-neu/,"Anhänger 150x300cm 2,0t | Typ 7.20 Hobby | Hochplane 180 cm | Angebot-Neu",,Anhänger,,3435,"Anhänger 150x300cm 2,0t | Typ 7.20 Hobby | Hochplane 180 cm | Angebot-Neu",CL3ST2690,2500.00,2500.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/20mitplane-2.jpg
woocommerce,https://containersolutionscs.de,3411,anhaenger-105x205cm-750kg-typ-u2-neu,https://containersolutionscs.de/produkt/anhaenger-105x205cm-750kg-typ-u2-neu/,Anhänger 105x205cm 750kg | Typ U2-Neu,,Anhänger,,3411,Anhänger 105x205cm 750kg | Typ U2-Neu,CL3ST2689,1099.00,1099.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/2-un-17.webp
